id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,25.27,10403111352,15,11371361467,341896030,26.94,25.2,-0.31469469173935494,-1.22996,-125458130.83495712,-1.1916,411894364.5880594,450230661.531686,720000000.0,144.96,-82.60984,2021-11-21T14:18:56.538Z,2.8,799.97908,2020-12-31T13:15:21.540Z,,2025-02-11T19:08:04.217Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,3.34,10329155020,16,33430854024,1425515354,3.56,3.2,0.067715,2.06765,209723556.0,2.07248,3089707194.508888,10000000000.0,10000000000.0,5.35,-37.46239,2025-01-04T22:56:18.063Z,0.364846,816.44487,2023-10-19T10:40:30.078Z,,2025-02-11T19:08:07.593Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.319419,9737585040,17,15915549516,362419256,0.337512,0.311169,0.00401054,1.27154,84471911.0,0.87507,30592512784.49743,50001786894.45019,50001786894.45019,0.875563,-63.64271,2018-01-03T00:00:00.000Z,0.00047612,66758.93314,2015-03-05T00:00:00.000Z,,2025-02-11T19:08:07.579Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,3.73,9311503658,18,19123357646,145679309,3.9,3.73,-0.09354369470954715,-2.44433,-233611491.1330204,-2.44745,2494025145.806247,5122065843.957455,,8.25,-54.7666,2024-06-15T00:36:51.509Z,0.519364,618.83852,2021-09-21T00:33:11.092Z,,2025-02-11T19:08:08.755Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.562e-05,9201090158,19,9205046323,250485646,1.643e-05,1.56e-05,-2.82759755975e-07,-1.77767,-179712382.32794952,-1.91575,589253901194418.4,589507260911478.5,,8.616e-05,-81.88347,2021-10-28T03:54:55.568Z,5.6366e-11,27691910.36678,2020-11-28T11:26:25.838Z,,2025-02-11T19:08:06.315Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,120.45,9074090147,20,9074386030,1906371090,131.29,118.74,1.098,0.92031,39120002.0,0.43298,75519489.48347135,75522014.48347135,84000000.0,410.26,-70.73916,2021-05-10T03:13:07.904Z,1.15,10349.25511,2015-01-14T00:00:00.000Z,,2025-02-11T19:08:03.365Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.8,9050900093,21,9649266937,504310,9.93,9.74,-0.07393378612326806,-0.74909,-75165730.67692375,-0.82364,924143188.9,985239504.0,,9.95,-1.57556,2025-02-09T22:45:42.188Z,0.799859,1123.77457,2019-12-24T15:14:35.376Z,,2025-02-11T19:08:09.120Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.230024,8799873318,22,11497834957,305158310,0.248042,0.229524,-0.00588777542886243,-2.49576,-222165527.8398056,-2.46248,38267523197.97134,50000000000.0,50000000000.0,0.569229,-59.65582,2021-09-15T10:40:28.318Z,0.00986111,2228.85297,2020-01-02T17:30:24.852Z,,2025-02-11T19:08:09.029Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,1.001,8522518754,23,8523730538,10768483,1.004,0.997137,0.00085866,0.08588,176087322.0,2.10973,8525414075.453899,8526626271.976438,,1.057,-5.4536,2024-10-29T05:40:51.197Z,0.948265,5.41989,2024-10-03T13:19:28.826Z,,2025-02-11T19:08:08.452Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,23.18,7740018509,25,23178469500,129866127,24.89,23.1,-0.7420857490749739,-3.10192,-253175053.5365486,-3.16738,333928180.0,999990391.0,1000000000.0,34.96,-33.89468,2024-12-22T03:56:00.276Z,3.81,506.76146,2024-11-29T09:30:30.871Z,,2025-02-11T19:08:09.018Z
