id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
jupiter-exchange-solana,jup,Jupiter,https://coin-images.coingecko.com/coins/images/34188/large/jup.png?1704266489,0.818435,2157741752,57,5726823302,247086869,0.874508,0.81645,-0.031804772513372215,-3.74068,-82364036.4601655,-3.67679,2637438888.89,6999978785.48612,10000000000.0,2.0,-59.09869,2024-01-31T15:02:47.304Z,0.457464,78.8188,2024-02-21T18:31:05.083Z,,2025-02-11T19:08:04.733Z
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,3.32,2087193274,58,6502847992,128245600,3.53,3.31,-0.08605652594077728,-2.52601,-57875547.8115108,-2.69807,628987623.0,1959670411.0,1959670416.0,236.84,-98.59976,2021-04-01T13:29:41.564Z,2.64,25.57228,2022-12-16T22:45:28.552Z,,2025-02-11T19:08:07.247Z
first-digital-usd,fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,0.999082,2042701352,59,2042701352,2767149764,1.004,0.988485,-0.000393103470143208,-0.03933,-5949783.656316042,-0.29042,2045814472.296214,2045814472.296214,,1.15,-13.27298,2025-02-03T02:30:49.959Z,0.940377,6.18255,2024-12-05T22:30:51.394Z,,2025-02-11T19:08:02.692Z
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,4.69,2038354911,60,2038354911,137830066,4.97,4.68,-0.11774838393079001,-2.44891,-54358178.07776618,-2.5975,435747296.318308,435747296.318308,,44.45,-89.4755,2022-01-17T00:34:41.497Z,1.16,303.24958,2020-03-13T02:27:44.591Z,"{'times': 45.90452027464953, 'currency': 'usd', 'percentage': 4590.452027464953}",2025-02-11T19:08:07.432Z
arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.465654,2023109687,61,4657398001,173767140,0.492771,0.463618,-0.008362178624402694,-1.76411,-37223565.66700077,-1.80668,4343862574.0,10000000000.0,10000000000.0,2.39,-80.53649,2024-01-12T12:29:59.231Z,0.38247,21.63911,2025-02-03T02:11:02.489Z,,2025-02-11T19:08:02.654Z
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,0.764532,1991255121,62,2074984524,168595272,0.823704,0.7622,-0.025110485818422235,-3.17998,-64371727.50288844,-3.13149,2604959126.672,2714493896.672,2714493896.672,3.45,-77.91086,2024-03-28T17:21:18.050Z,0.00816959,9239.40824,2020-03-13T02:24:18.347Z,"{'times': 7.8181370945187805, 'currency': 'usd', 'percentage': 781.8137094518781}",2025-02-11T19:08:07.336Z
lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,95306.0,1852303876,63,1852303876,1544807,98591.0,95127.0,-1865.9920426221943,-1.9203,-34258677.07857776,-1.81593,19442.65601445,19442.65601445,,114576.0,-16.84954,2025-02-04T01:47:44.052Z,52119.0,82.79235,2024-09-06T21:01:52.094Z,,2025-02-11T19:08:05.930Z
celestia,tia,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,3.25,1704709454,64,3585921580,99965602,3.56,3.21,0.04216689,1.31463,30712497.0,1.83468,523953515.92761,1102156273.972275,,20.85,-84.41247,2024-02-10T14:30:02.495Z,2.08,55.99406,2023-10-31T15:14:31.951Z,,2025-02-11T19:08:04.187Z
fasttoken,ftn,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,3.95,1692055326,65,3435607324,50281217,3.95,3.92,0.01005952,0.25558,2446051.0,0.14477,428845394.6,870742437.0,1000000000.0,3.96,-0.35785,2025-02-04T22:20:43.296Z,0.398142,891.05293,2023-01-21T10:15:39.503Z,,2025-02-11T19:08:07.182Z
binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,2618.77,1585812021,66,1585812021,64303058,2728.6,2610.66,-58.46714337450976,-2.18386,-37637182.70237875,-2.31835,604999.999959841,604999.999959841,,4098.26,-36.04175,2024-12-06T20:27:27.286Z,2171.8,20.69142,2024-09-06T21:02:52.910Z,,2025-02-11T19:08:03.406Z
binance-staked-sol,bnsol,Binance Staked SOL,https://coin-images.coingecko.com/coins/images/40132/large/bnsol.png?1725968367,203.12,1578847454,67,1578847454,7394217,212.77,202.85,-6.922383834404343,-3.29578,-48715795.23231697,-2.99317,7776051.572395649,7776051.572395649,,297.96,-31.85582,2025-01-19T11:30:53.744Z,127.32,59.47098,2024-09-18T15:30:14.531Z,,2025-02-11T19:08:02.662Z
raydium,ray,Raydium,https://coin-images.coingecko.com/coins/images/13928/large/PSigc4ie_400x400.jpg?1696513668,5.23,1520854031,68,2901925960,193617677,5.75,5.14,0.059022,1.14036,16185174.0,1.07566,290866823.959339,555000000.0,555000000.0,16.83,-68.97957,2021-09-12T20:20:23.998Z,0.134391,3785.39375,2022-12-29T22:15:53.927Z,,2025-02-11T19:08:08.312Z
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,2709.23,1513389008,69,1513389008,1328288,2816.51,2705.49,-65.78131832156214,-2.37049,-40454609.42482591,-2.60352,558942.0290915723,558942.0290915723,,4216.2,-35.77906,2024-12-06T20:31:16.142Z,2069.62,30.8298,2024-01-23T14:25:53.609Z,,2025-02-11T19:08:08.831Z
kucoin-shares,kcs,KuCoin,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,12.21,1491826142,70,1735177098,73079,12.45,12.1,0.051909,0.42695,6124558.0,0.41223,122606967.8513356,142606967.8513356,,28.83,-57.7972,2021-12-01T15:09:35.541Z,0.342863,3448.65263,2019-02-07T00:00:00.000Z,,2025-02-11T19:08:09.214Z
solv-btc,solvbtc,Solv Protocol SolvBTC,https://coin-images.coingecko.com/coins/images/36800/large/solvBTC.png?1719810684,95507.0,1439489308,72,1439489308,4783753,98609.0,95399.0,-1675.4884295558877,-1.72406,-55824163.75926423,-3.73327,15075.08149939745,15075.08149939745,21000000.0,108929.0,-12.33953,2025-01-20T07:17:19.296Z,49058.0,94.64374,2024-08-05T06:28:45.311Z,,2025-02-11T19:08:06.122Z
optimism,op,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,1.066,1439179374,71,4572864764,162670197,1.14,1.064,-0.042523718940097543,-3.8376,-58589954.180936575,-3.91181,1351719035.0,4294967296.0,4294967296.0,4.84,-78.017,2024-03-06T08:35:50.817Z,0.402159,164.80183,2022-06-18T20:54:52.178Z,,2025-02-11T19:08:04.948Z
sonic-3,s,Sonic (prev. FTM),https://coin-images.coingecko.com/coins/images/38108/large/200x200_Sonic_Logo.png?1734679256,0.450136,1428153813,73,1428153813,106437362,0.479349,0.435315,0.00610248,1.37433,19710436.0,1.39945,3175000000.0,3175000000.0,,1.029,-56.31238,2025-01-04T21:35:44.705Z,0.359647,25.05364,2025-02-03T02:11:37.229Z,,2025-02-11T19:08:08.888Z
xdce-crowd-sale,xdc,XDC Network,https://coin-images.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,0.089918,1410490229,74,3413980922,92667752,0.097204,0.088032,0.00142096,1.60567,18661026.0,1.34076,15687970086.9,37971505766.7,,0.192754,-53.37492,2021-08-21T04:39:48.324Z,0.00039532,22634.04051,2019-07-22T00:00:00.000Z,"{'times': 3.5692294492175547, 'currency': 'eth', 'percentage': 356.92294492175546}",2025-02-11T19:08:09.003Z
lido-dao,ldo,Lido DAO,https://coin-images.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326,1.58,1409426670,75,1573133145,185355691,1.69,1.55,-0.013080161678624693,-0.82323,-11387839.38574481,-0.8015,895936033.47191,1000000000.0,1000000000.0,7.3,-78.49071,2021-08-20T08:35:20.158Z,0.40615,286.7528,2022-06-18T20:55:12.035Z,,2025-02-11T19:08:03.375Z
blockstack,stx,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,0.931754,1406995577,76,1406995577,45677716,1.01,0.929476,-0.04604084997821678,-4.70864,-75292236.35310626,-5.07946,1512696969.91347,1512709967.91347,1818000000.0,3.86,-75.9297,2024-04-01T12:34:58.342Z,0.04559639,1939.97247,2020-03-13T02:29:26.415Z,"{'times': 6.764618179422981, 'currency': 'usd', 'percentage': 676.4618179422981}",2025-02-11T19:08:03.293Z
ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.448792,1401837108,77,6722096023,296820906,0.505893,0.446037,-0.044103775514235055,-8.94788,-138422379.45173526,-8.98695,3128125000.0,15000000000.0,,1.52,-70.47249,2024-04-11T13:15:15.057Z,0.195078,129.72335,2024-09-06T21:04:48.253Z,,2025-02-11T19:08:07.280Z
injective-protocol,inj,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Other_200x200.png?1738782212,14.24,1391713765,78,1424079965,124197883,15.57,14.24,-0.6280814315196608,-4.22336,-64913161.76039362,-4.4564,97727220.33,100000000.0,,52.62,-72.94272,2024-03-14T15:06:22.124Z,0.657401,2065.75996,2020-11-03T16:19:30.576Z,,2025-02-11T19:08:08.935Z
immutable-x,imx,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,0.789456,1376157736,79,1578343252,32462604,0.86933,0.788311,-0.03268226988701006,-3.97528,-59031579.85752463,-4.11316,1743800322.3898141,2000000000.0,2000000000.0,9.52,-91.69786,2021-11-26T01:03:01.536Z,0.378055,109.05924,2022-12-31T07:36:37.649Z,,2025-02-11T19:08:08.866Z
theta-token,theta,Theta Network,https://coin-images.coingecko.com/coins/images/2538/large/theta-token-logo.png?1696503349,1.36,1363281772,80,1363281772,24426617,1.46,1.36,-0.02070887996423254,-1.49634,-21074479.432140112,-1.52233,1000000000.0,1000000000.0,1000000000.0,15.72,-91.32324,2021-04-16T13:15:11.190Z,0.04039979,3276.16015,2020-03-13T02:24:16.483Z,"{'times': 8.088380516095194, 'currency': 'usd', 'percentage': 808.8380516095193}",2025-02-11T19:08:07.387Z
bonk,bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,1.761e-05,1359484103,81,1565271139,151796855,1.906e-05,1.744e-05,-3.03061166053e-07,-1.69195,-24736104.59137678,-1.78701,77189786763085.14,88874114185319.39,88874114185319.39,5.825e-05,-69.75855,2024-11-20T04:01:06.465Z,8.6142e-08,20349.48922,2022-12-29T22:48:46.755Z,,2025-02-11T19:08:04.079Z
the-graph,grt,The Graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.137928,1315671014,84,1486455228,55962539,0.147634,0.137483,-0.003005391585407913,-2.13249,-37463458.57614231,-2.76864,9548531509.16547,10788004319.0,10788004319.0,2.84,-95.16009,2021-02-12T07:28:45.775Z,0.052051,164.21437,2022-11-22T10:05:03.503Z,,2025-02-11T19:08:07.399Z
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,2937.14,1314180354,82,1314180354,5315352,3058.1,2933.47,-74.35550767531959,-2.46906,-32846750.25723052,-2.43846,447424.0660556395,447424.0660556395,,4814.31,-39.01438,2021-12-01T08:03:50.749Z,887.26,230.90923,2022-06-18T20:55:45.957Z,,2025-02-11T19:08:05.495Z
nexo,nexo,NEXO,https://coin-images.coingecko.com/coins/images/3695/large/CG-nexo-token-200x200_2x.png?1730414360,1.31,1313415646,83,1313415646,9811334,1.35,1.31,-0.024217178100285786,-1.8105,-25234727.555814028,-1.88509,1000000000.0,1000000000.0,1000000000.0,4.07,-67.72927,2021-05-12T14:37:47.535Z,0.04515276,2807.38307,2018-09-13T00:00:00.000Z,"{'times': 12.13375632277555, 'currency': 'usd', 'percentage': 1213.375632277555}",2025-02-11T19:08:07.289Z
quant-network,qnt,Quant,https://coin-images.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,89.12,1299792518,85,1305897898,34115761,92.67,88.15,-0.4953072131254004,-0.55272,-3127833.4718368053,-0.24006,14544176.164091088,14612493.0,14612493.0,427.42,-79.12648,2021-09-11T09:15:00.668Z,0.215773,41248.07584,2018-08-23T00:00:00.000Z,"{'times': 13.64363133362706, 'currency': 'eth', 'percentage': 1364.3631333627059}",2025-02-11T19:08:06.702Z
movement,move,Movement,https://coin-images.coingecko.com/coins/images/39345/large/movement-testnet-token.png?1721878759,0.539183,1294326553,86,5393027306,103589303,0.57846,0.53866,-0.014608890108665062,-2.63797,-38050076.29667568,-2.8558,2400000000.0,10000000000.0,10000000000.0,1.45,-62.80309,2024-12-10T04:05:51.093Z,0.497641,8.37174,2025-02-10T02:30:26.108Z,,2025-02-11T19:08:03.940Z
mantle-staked-ether,meth,Mantle Staked Ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,2762.71,1258148523,88,1258148523,7057254,2873.75,2757.47,-67.75561953524175,-2.39379,-23437750.68559289,-1.82881,455279.7136432861,455279.7136432861,,4729.53,-41.60859,2024-03-27T05:26:27.333Z,2142.02,28.92701,2023-12-18T10:41:32.686Z,,2025-02-11T19:08:04.369Z
worldcoin-wld,wld,Worldcoin,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,1.24,1257610752,87,12475301133,307137227,1.34,1.24,-0.03762190558170442,-2.94149,-31195411.575298786,-2.42049,1008080477.130744,10000000000.0,10000000000.0,11.74,-89.41279,2024-03-10T00:10:42.330Z,0.973104,27.73599,2023-09-13T07:36:44.064Z,,2025-02-11T19:08:08.674Z
flare-networks,flr,Flare,https://coin-images.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1696527609,0.02066033,1213414679,89,2124020787,10215617,0.02206826,0.02056308,-0.000431059537379458,-2.04377,-23261391.109770298,-1.88096,58847064416.58456,103008798459.3666,,0.150073,-86.24712,2023-01-10T03:14:05.921Z,0.00827405,149.44676,2023-10-19T03:35:41.663Z,,2025-02-11T19:08:07.395Z
usual-usd,usd0,Usual USD,https://coin-images.coingecko.com/coins/images/38272/large/USD0LOGO.png?1716962811,0.998246,1160823926,90,1160823926,16199238,0.999903,0.994242,0.00051176,0.05129,4167227.0,0.36028,1163417623.418638,1163417623.418638,,1.33,-24.73631,2024-07-12T08:28:59.311Z,0.976415,2.18716,2025-01-20T17:07:15.786Z,,2025-02-11T19:08:07.930Z
dexe,dexe,DeXe,https://coin-images.coingecko.com/coins/images/12713/large/DEXE_token_logo.png?1696512514,19.35,1104771598,91,1867048916,16292741,19.61,18.82,0.332447,1.74843,18923878.0,1.74277,57103774.56313077,96504599.33609451,,32.38,-40.34585,2021-03-08T13:29:57.935Z,0.671563,2776.36051,2020-11-06T19:31:40.144Z,,2025-02-11T19:08:06.441Z
jasmycoin,jasmy,JasmyCoin,https://coin-images.coingecko.com/coins/images/13876/large/JASMY200x200.jpg?1696513620,0.02225469,1077183191,92,1112332911,84156721,0.02484098,0.02212409,-0.000905485773516616,-3.90967,-44232667.56565595,-3.94436,48419999999.3058,50000000000.0,50000000000.0,4.79,-99.53628,2021-02-16T03:53:32.207Z,0.00275026,707.65728,2022-12-29T20:41:09.113Z,,2025-02-11T19:08:09.025Z
sei-network,sei,Sei,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.228167,1011095459,93,2281023752,70368762,0.24546,0.227706,-0.007732566501840371,-3.27791,-35742727.25470126,-3.41435,4432638888.0,10000000000.0,,1.14,-79.98585,2024-03-16T02:30:23.904Z,0.095364,139.1945,2023-10-19T08:05:30.655Z,,2025-02-11T19:08:05.855Z
solv-protocol-solvbtc-bbn,solvbtc.bbn,Solv Protocol SolvBTC.BBN,https://coin-images.coingecko.com/coins/images/39384/large/unnamed.png?1721961640,95015.0,1009223288,94,1009223288,1404862,97647.0,94969.0,-1616.2890972680907,-1.67264,-18448167.7764045,-1.79514,10625.18217912526,10625.18217912526,21000000.0,117077.0,-18.8701,2025-01-20T07:15:49.114Z,11402.13,733.03837,2024-09-10T17:58:43.974Z,,2025-02-11T19:08:05.731Z
msol,msol,Marinade Staked SOL,https://coin-images.coingecko.com/coins/images/17752/large/mSOL.png?1696517278,248.59,975933538,95,975933538,27227029,260.67,248.33,-7.890094931645876,-3.07634,-44843486.76882112,-4.39307,3927395.0,3927395.0,3927399.0,363.77,-31.62657,2025-01-19T11:26:02.862Z,8.93,2685.16655,2022-12-29T20:45:33.039Z,,2025-02-11T19:08:03.695Z
gala,gala,GALA,https://coin-images.coingecko.com/coins/images/12493/large/GALA_token_image_-_200PNG.png?1709725869,0.02261021,970351365,96,970352540,118301753,0.0245569,0.02257342,-0.000382485006087851,-1.66351,-17996208.10211587,-1.82084,42945781588.21928,42945833586.99506,50000000000.0,0.824837,-97.26235,2021-11-26T01:03:48.731Z,0.00013475,16657.90253,2020-12-28T08:46:48.367Z,,2025-02-11T19:08:08.411Z
the-sandbox,sand,The Sandbox,https://coin-images.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1696511971,0.389771,952338069,97,1168103474,76150842,0.41634,0.388852,-0.00814536428652185,-2.047,-21177065.2376436,-2.17532,2445857126.2233224,3000000000.0,3000000000.0,8.4,-95.36571,2021-11-25T06:04:40.957Z,0.02897764,1242.86879,2020-11-04T15:59:14.441Z,,2025-02-11T19:08:07.354Z
eos,eos,EOS,https://coin-images.coingecko.com/coins/images/738/large/CG_EOS_Icon.png?1731705232,0.618301,934502841,98,1293740096,109498044,0.665618,0.616067,-0.024160315162528367,-3.76059,-39168032.61431587,-4.02272,1516885789.1746,2100000000.0,2100000000.0,22.71,-97.28724,2018-04-29T07:50:33.540Z,0.402746,52.97525,2024-11-04T21:55:59.771Z,"{'times': -0.37545326762011777, 'currency': 'usd', 'percentage': -37.545326762011776}",2025-02-11T19:08:09.222Z
floki,floki,FLOKI,https://coin-images.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,9.317e-05,901073661,99,931607816,140634240,0.00010043,9.307e-05,-2.815132812255e-06,-2.93274,-28351394.17065835,-3.05042,9672242394346.0,10000000000000.0,10000000000000.0,0.00034495,-72.99919,2024-06-05T07:25:59.137Z,8.428e-08,110411.80882,2021-07-06T01:11:20.438Z,,2025-02-11T19:08:08.070Z
tezos,xtz,Tezos,https://coin-images.coingecko.com/coins/images/976/large/Tezos-logo.png?1696502091,0.867411,890212606,100,907772344,35336986,0.926244,0.86449,-0.023727383162421845,-2.66259,-27322495.769358158,-2.97781,1029600680.773781,1049909895.503569,,9.12,-90.51522,2021-10-04T00:41:18.025Z,0.350476,146.70405,2018-12-07T00:00:00.000Z,"{'times': 0.8455552303539838, 'currency': 'usd', 'percentage': 84.55552303539838}",2025-02-11T19:08:09.109Z
